    PID     LWP TTY          TIME CMD
   1744    1744 ?        00:00:00 ibus-engine-sim
   1744    1765 ?        00:00:00 gmain
   1744    1791 ?        00:00:00 gdbus
   1749    1749 ?        00:00:00 evolution-alarm
   1749    1830 ?        00:00:00 gmain
   1749    1831 ?        00:00:00 gdbus
   1749    1832 ?        00:00:00 dconf worker
   1749    1833 ?        00:00:00 evolution-alarm
   1749    1838 ?        00:00:00 evolution-alarm
   1897    1897 ?        00:00:00 gvfsd-metadata
   1897    1898 ?        00:00:00 gmain
   1897    1899 ?        00:00:00 gdbus
   1900    1900 ?        00:00:00 update-notifier
   1900    1903 ?        00:00:00 gmain
   1900    1904 ?        00:00:00 gdbus
   1900    1905 ?        00:00:00 dconf worker
   6532    6532 ?        00:01:41 redis-server
   6532    6533 ?        00:00:00 bio_close_file
   6532    6534 ?        00:00:00 bio_aof_fsync
   6532    6535 ?        00:00:00 bio_lazy_free
   6532    6536 ?        00:00:00 jemalloc_bg_thd
   7732    7732 ?        00:00:00 gvfsd-network
   7732    7733 ?        00:00:00 gmain
   7732    7734 ?        00:00:00 gdbus
   7732    7738 ?        00:00:00 dconf worker
   7745    7745 ?        00:00:00 gvfsd-dnssd
   7745    7746 ?        00:00:00 gmain
   7745    7747 ?        00:00:00 gdbus
   7953    7953 ?        00:00:00 kworker/u2:2-ext4-rsv-conversion
   7956    7956 ?        00:00:39 firefox
   7956    7964 ?        00:00:00 gmain
   7956    7965 ?        00:00:00 gdbus
   7956    7974 ?        00:00:04 IPC I/O Parent
   7956    7975 ?        00:00:00 Timer
   7956    7976 ?        00:00:00 Netlink Monitor
   7956    7977 ?        00:00:05 Socket Thread
   7956    7978 ?        00:00:00 Permission
   7956    7981 ?        00:00:00 JS Watchdog
   7956    7982 ?        00:00:00 JS Helper
   7956    7983 ?        00:00:00 JS Helper
   7956    7986 ?        00:00:02 Cache2 I/O
   7956    7987 ?        00:00:00 Cookie
   7956    7990 ?        00:00:00 Worker Launcher
   7956    7991 ?        00:00:02 Softwar~cThread
   7956    7992 ?        00:00:09 Compositor
   7956    7993 ?        00:00:00 ImageIO
   7956    7994 ?        00:00:02 IPDL Background
   7956    7999 ?        00:00:00 DOM Worker
   7956    8000 ?        00:00:00 QuotaManager IO
   7956    8004 ?        00:00:00 ImageBridgeChld
   7956    8005 ?        00:00:00 Breakpad Server
   7956    8006 ?        00:00:00 firefox
   7956    8007 ?        00:00:00 IPC Launch
   7956    8009 ?        00:00:00 GMPThread
   7956    8013 ?        00:00:00 FS Broker 8008
   7956    8014 ?        00:00:00 ProcessHangMon
   7956    8017 ?        00:00:00 TaskCon~read #0
   7956    8018 ?        00:00:00 TRR Background
   7956    8026 ?        00:00:00 dconf worker
   7956    8027 ?        00:00:00 DNS Resolver #1
   7956    8028 ?        00:00:00 Cache I/O
   7956    8029 ?        00:00:00 AudioIPC Callba
   7956    8030 ?        00:00:00 AudioIPC Server
   7956    8031 ?        00:00:00 HTML5 Parser
   7956    8032 ?        00:00:00 DNS Resolver #2
   7956    8037 ?        00:00:00 threaded-ml
   7956    8045 ?        00:00:00 DOM Worker
   7956    8046 ?        00:00:00 localStorage DB
   7956    8047 ?        00:00:00 localStorage DB
   7956    8053 ?        00:00:00 mozStorage #1
   7956    8054 ?        00:00:00 mozStorage #2
   7956    8055 ?        00:00:00 mozStorage #3
   7956    8061 ?        00:00:00 FS Broker 8057
   7956    8067 ?        00:00:00 DOM Worker
   7956    8068 ?        00:00:00 DOM Worker
   7956    8078 ?        00:00:03 URL Classifier
   7956    8079 ?        00:00:00 glean.dispatche
   7956    8090 ?        00:00:00 mozStorage #4
   7956    8097 ?        00:00:00 mozStorage #5
   7956    8098 ?        00:00:00 mozStorage #6
   7956    8103 ?        00:00:00 FS Broker 8100
   7956    8106 ?        00:00:00 firefox
   7956    8110 ?        00:00:00 mozStorage #7
   7956    8128 ?        00:00:00 mozStorage #8
   7956    8229 ?        00:00:00 FS Broker 8226
   7956    9061 ?        00:00:00 DNS Resolver #5
   7956    9076 ?        00:00:00 FS Broker 9072
   7956    9102 ?        00:00:00 FS Broker 9099
   7956    9320 ?        00:00:00 DOMCacheThread
   7956    9386 ?        00:00:00 Backgro~ool #10
   7956    9434 ?        00:00:00 StreamTrans #28
   7956    9435 ?        00:00:00 IndexedDB #34
   8008    8008 ?        00:00:13 Privileged Cont
   8008    8012 ?        00:00:00 IPC I/O Child
   8008    8015 ?        00:00:00 gmain
   8008    8016 ?        00:00:00 gdbus
   8008    8019 ?        00:00:00 Socket Thread
   8008    8021 ?        00:00:00 JS Watchdog
   8008    8022 ?        00:00:00 JS Helper
   8008    8023 ?        00:00:00 JS Helper
   8008    8024 ?        00:00:00 Timer
   8008    8035 ?        00:00:00 RemoteLzyStream
   8008    8036 ?        00:00:00 RemVidChild
   8008    8039 ?        00:00:00 ImageIO
   8008    8040 ?        00:00:00 Worker Launcher
   8008    8041 ?        00:00:00 ImageBridgeChld
   8008    8042 ?        00:00:00 ProcessHangMon
   8008    8043 ?        00:00:00 ProfilerChild
   8008    8051 ?        00:00:00 HTML5 Parser
   8008    8059 ?        00:00:00 TaskCon~read #0
   8057    8057 ?        00:00:02 WebExtensions
   8057    8062 ?        00:00:00 IPC I/O Child
   8057    8063 ?        00:00:00 gmain
   8057    8064 ?        00:00:00 gdbus
